"","Parameter1","Parameter2","r","CI","CI_low","CI_high","t","df_error","p","Method","n_Obs"
"1","data","GOBP_FIBROBLAST_PROLIFERATION",0.0622804384799827,0.95,0.0461688404747011,0.0783596418836247,7.56887685999319,14712,1.19630140204623e-13,"Pearson correlation",14714
"2","data","GOBP_FIBROBLAST_MIGRATION",0.0477489800970665,0.95,0.0316153131452432,0.0638577709981591,5.7982323028248,14712,1.36784551538955e-08,"Pearson correlation",14714
"3","data","GOBP_EXECUTION_PHASE_OF_APOPTOSIS",-0.0139635058029592,0.95,-0.0301147703546007,0.0021950485918922,-1.69384111873094,14712,0.0903166458838322,"Pearson correlation",14714
"4","data","GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA",0.069489701681763,0.95,0.0533915916186927,0.0855517017714551,8.44904084988426,14712,1.28381899298186e-16,"Pearson correlation",14714
