"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051216","GO:0051216","cartilage development","29/782","203/18614",7.91714130832664e-09,1.66809081584511e-06,1.33011662997769e-06,"4094/5916/5745/7227/649/633/25987/94/7059/2734/7048/4054/55959/26585/6615/871/1301/116039/4192/1893/4256/7076/4969/2202/1311/1513/1281/1277/6423",29
"GO:0072001","GO:0072001","renal system development","38/782","320/18614",7.98791243300855e-09,1.66809081584511e-06,1.33011662997769e-06,"6092/144165/4357/3037/55366/3913/90410/231/4311/185/3248/9244/6382/51107/25937/4853/5087/10252/4774/80310/29927/9500/5754/55959/358/26585/2674/9353/10409/947/2719/80114/116039/1512/5156/2200/6422/5176",38
"GO:0071559","GO:0071559","response to transforming growth factor beta","35/782","280/18614",8.30412353874355e-09,1.66809081584511e-06,1.33011662997769e-06,"3248/94/135228/2534/2734/4053/3303/10252/7048/80310/4054/9315/3397/7049/3693/7123/4052/678/1601/2331/8483/94031/8425/11117/7148/25878/2200/6422/4015/54829/5654/1513/1281/1278/1277",35
"GO:0050673","GO:0050673","epithelial cell proliferation","49/782","488/18614",1.56299370355292e-08,3.01407705793146e-06,2.40339073910538e-06,"3150/3037/55366/185/57142/283/94/135228/1296/6934/4853/8828/10468/1956/2683/1295/3912/9500/55959/3397/26471/7049/1535/3487/947/3486/2719/2896/1601/3162/7423/7060/116039/56005/2260/4323/28984/2191/348/4192/1893/3479/6422/6678/5176/5764/6387/5654/6423",49
"GO:0071560","GO:0071560","cellular response to transforming growth factor beta stimulus","34/782","274/18614",1.63327756806287e-08,3.02847352139658e-06,2.41487031520875e-06,"3248/94/135228/2534/2734/4053/3303/10252/7048/80310/4054/9315/3397/7049/3693/7123/4052/678/1601/2331/8483/94031/8425/11117/7148/2200/6422/4015/54829/5654/1513/1281/1278/1277",34
"GO:0010466","GO:0010466","negative regulation of peptidase activity","31/782","236/18614",1.8471812578715e-08,3.29824475711056e-06,2.62998282797143e-06,"5104/274/334/135228/5329/80760/358/351/8434/871/1476/10972/2537/25824/710/2719/5743/1508/2621/5270/7077/1893/6590/9314/1293/7076/4035/5176/1471/221476/6423",31
"GO:0051235","GO:0051235","maintenance of location","39/782","347/18614",2.35231742933508e-08,3.88345891963773e-06,3.09662594013406e-06,"1627/23345/11344/23568/7184/10142/1193/3638/9446/808/3685/8733/2548/57584/4792/287/11079/1066/3074/2149/10945/623/1535/10956/3998/2512/706/4052/3073/11014/11015/9168/7070/348/4681/301/2200/2934/718",39
"GO:0030574","GO:0030574","collagen catabolic process","13/782","45/18614",2.41436839761191e-08,3.88345891963773e-06,3.09662594013406e-06,"54463/1514/1520/4320/9509/1508/4323/2191/9902/8510/1471/1513/4313",13
"GO:0048251","GO:0048251","elastic fiber assembly","7/782","10/18614",2.41658924681875e-08,3.88345891963773e-06,3.09662594013406e-06,"30008/10516/11117/7148/4015/4239/1281",7
"GO:0070972","GO:0070972","protein localization to endoplasmic reticulum","17/782","80/18614",2.81536310229497e-08,4.37834371489163e-06,3.49124144298174e-06,"10134/57142/3638/10952/8733/287/6747/11079/7095/29927/23480/23471/10945/10956/4121/11014/11015",17
"GO:0030282","GO:0030282","bone mineralization","21/782","121/18614",3.02558509208442e-08,4.55823304029343e-06,3.6346831435172e-06,"144165/56172/55366/5745/55603/338773/4054/26585/7123/51374/2719/5743/116039/1893/3479/4256/4015/5764/54829/1311/1278",21
"GO:0001822","GO:0001822","kidney development","36/782","310/18614",3.53417283754244e-08,5.16310522720973e-06,4.11700134057576e-06,"6092/4357/3037/55366/3913/90410/231/4311/185/3248/9244/6382/51107/25937/4853/5087/10252/80310/29927/9500/5754/55959/358/26585/2674/9353/10409/947/2719/80114/116039/1512/5156/2200/6422/5176",36
"GO:0045185","GO:0045185","maintenance of protein location","18/782","92/18614",4.31574303701941e-08,6.11946975925605e-06,4.87959553287768e-06,"1627/23345/11344/23568/3638/8733/4792/11079/10945/10956/706/4052/11014/11015/9168/4681/2200/2934",18
"GO:0002062","GO:0002062","chondrocyte differentiation","20/782","113/18614",4.57632449982617e-08,6.30356011818913e-06,5.02638708973389e-06,"4094/5916/5745/7227/25987/94/2734/7048/4054/55959/26585/871/1301/116039/4192/1893/2202/1311/1281/6423",20
"GO:0006457","GO:0006457","protein folding","29/782","220/18614",4.90574903662103e-08,6.4421141662866e-06,5.1368685106341e-06,"10954/10961/64215/7456/7184/5768/9403/23184/9601/3304/64374/2286/3310/3303/10130/51303/2923/64175/972/3998/2896/11328/5034/60681/8425/5479/10549/1191/5480",29
"GO:0051651","GO:0051651","maintenance of location in cell","30/782","233/18614",4.94416561196026e-08,6.4421141662866e-06,5.1368685106341e-06,"1627/23345/11344/23568/7184/10142/1193/3638/9446/808/8733/2548/57584/287/11079/3074/2149/10945/623/1535/10956/2512/706/3073/11014/11015/9168/7070/348/2934",30
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","29/782","222/18614",5.99714284098219e-08,7.60848043062503e-06,6.06691569397976e-06,"3037/54453/1842/94/11078/22998/5212/10085/1295/26585/5295/10630/1307/1601/7070/4323/5034/30008/11117/25890/4192/2335/6422/2199/6281/151887/2192/1277/347",29
"GO:1902903","GO:1902903","regulation of supramolecular fiber organization","40/782","376/18614",7.10569104685594e-08,8.58250742146304e-06,6.84359372988417e-06,"29108/11344/148170/116985/274/84952/10142/9659/6840/3304/11078/6050/51474/22998/6711/3303/51429/3397/130271/351/1902/9353/5295/822/961/9168/11075/30008/28984/11117/120/348/165/7148/1191/6422/2006/6387/2934/6281",40
"GO:0018126","GO:0018126","protein hydroxylation","10/782","27/18614",7.12093542539974e-08,8.58250742146304e-06,6.84359372988417e-06,"5351/5033/10609/444/64175/10536/8974/5034/60681/10549",10
"GO:0032964","GO:0032964","collagen biosynthetic process","13/782","51/18614",1.24710797004017e-07,1.46641646916187e-05,1.16930380143432e-05,"55323/10609/2149/10536/7431/871/90993/28984/11117/57333/5118/1289/1277",13
"GO:0006890","GO:0006890","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","13/782","52/18614",1.59940047298636e-07,1.81371097082277e-05,1.44623248407619e-05,"22818/11316/9554/378/57222/11079/10960/10945/8613/10972/11014/11015/51226",13
"GO:0048771","GO:0048771","tissue remodeling","25/782","181/18614",1.64982911195285e-07,1.81371097082277e-05,1.44623248407619e-05,"64114/55366/4286/5745/94/10609/4853/338773/4054/3953/26585/2149/7060/10512/4323/10457/4192/2697/6422/7076/5764/1471/1513/4313/115908",25
"GO:0090092","GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","34/782","301/18614",1.65532633719564e-07,1.81371097082277e-05,1.44623248407619e-05,"64388/8321/10984/94/135228/4853/2734/3303/10252/7048/91851/10468/9315/26585/7049/4052/2719/1601/8483/94031/8425/11117/4681/7148/2200/6422/6424/7130/11167/4035/4015/54829/5654/6423",34
"GO:0045861","GO:0045861","negative regulation of proteolysis","36/782","330/18614",1.72361548809519e-07,1.84656672624598e-05,1.47243128947921e-05,"5104/64215/274/334/135228/2734/5329/80760/358/351/8434/871/1476/10972/2537/25824/26022/5621/710/2719/5743/1508/2621/5270/2619/7077/1893/6590/9314/1293/7076/4035/5176/1471/221476/6423",36
"GO:0051346","GO:0051346","negative regulation of hydrolase activity","37/782","345/18614",1.79411929509905e-07,1.88031502645055e-05,1.49934179993175e-05,"5104/274/334/135228/341/5329/10252/80760/3953/358/5806/351/8434/871/1476/10972/2537/25824/710/3958/2719/5743/1508/2621/5270/7077/1893/301/6590/9314/1293/7076/4035/5176/1471/221476/6423",37
"GO:0045785","GO:0045785","positive regulation of cell adhesion","46/782","482/18614",1.94935719476173e-07,1.99954277360559e-05,1.59441264843669e-05,"3037/3913/29108/6595/54453/1842/1803/3123/3122/11078/1991/2534/3685/5329/5212/7048/10085/1295/6484/3912/10673/972/975/8613/10630/3956/961/3908/1307/1601/1604/7070/5034/30008/11117/25890/4192/3479/301/2335/6422/6387/2199/6281/151887/6423",46
"GO:1900046","GO:1900046","regulation of hemostasis","15/782","72/18614",2.42304161797223e-07,2.43106219518115e-05,1.93850132355191e-05,"7103/5329/6484/2149/928/947/710/302/79001/5270/2191/11117/348/5156/1311",15
"GO:0044409","GO:0044409","entry into host","23/782","160/18614",2.47089914050771e-07,2.43106219518115e-05,1.93850132355191e-05,"950/185/1514/1803/3304/3123/3685/3303/1956/290/2519/5806/972/975/3693/3916/3956/1508/1604/2621/5034/4061/2934",23
"GO:0010811","GO:0010811","positive regulation of cell-substrate adhesion","20/782","125/18614",2.56916871765134e-07,2.47719247755942e-05,1.9752850856553e-05,"3037/54453/1842/11078/5212/10085/1295/1307/1601/7070/5034/30008/11117/25890/4192/2335/6422/2199/6281/151887",20
"GO:0031214","GO:0031214","biomineral tissue development","24/782","173/18614",2.67501349431081e-07,2.52867452079851e-05,2.0163362809542e-05,"144165/56172/79971/55366/5745/55603/338773/4054/26585/7123/51374/2719/5743/2621/116039/1893/3479/4256/4015/5764/54829/1311/1278/1277",24
"GO:1990748","GO:1990748","cellular detoxification","19/782","115/18614",3.05017992117883e-07,2.81281011561986e-05,2.24290277017079e-05,"9536/9403/1193/2882/6649/9446/10327/128/2947/2950/2879/216/25824/4257/5743/493869/10516/348/10549",19
"GO:0035437","GO:0035437","maintenance of protein localization in endoplasmic reticulum","7/782","13/18614",3.0922824336829e-07,2.81281011561986e-05,2.24290277017079e-05,"3638/8733/11079/10945/10956/11014/11015",7
"GO:0042445","GO:0042445","hormone metabolic process","29/782","241/18614",3.55997383852154e-07,3.17826553250228e-05,2.53431275989876e-05,"140606/81555/231/4311/1514/590/1803/25825/51635/1646/6934/133/9249/59342/8644/216/1545/10699/1645/706/10404/1601/1508/5034/5156/1734/125/1382/1513",29
"GO:1901342","GO:1901342","regulation of vasculature development","37/782","355/18614",3.67128260156289e-07,3.21804607675176e-05,2.56603331309238e-05,"140862/5740/64094/147372/94/6050/133/7048/358/3397/26585/10266/8434/1545/947/90993/8038/2896/3162/7423/7060/56005/1512/28984/11117/3339/10457/4192/1893/9314/6422/6678/5176/7058/718/6423/1634",37
"GO:0018208","GO:0018208","peptidyl-proline modification","12/782","47/18614",3.7418621406568e-07,3.22134238930472e-05,2.56866175520275e-05,"5033/2286/51303/51661/64175/10536/8974/5034/60681/5479/10549/5480",12
"GO:0009100","GO:0009100","glycoprotein metabolic process","40/782","401/18614",3.94517433351804e-07,3.2820237956157e-05,2.61704841790599e-05,"57134/11227/5238/8869/2801/1514/29940/55501/2990/8704/90865/633/25825/81618/6934/2683/4669/6484/55959/9528/6185/5806/3074/200185/1650/746/4121/1603/100128731/79586/1301/3073/58505/727936/9445/7423/3479/9452/1471/1634",40
"GO:0032507","GO:0032507","maintenance of protein location in cell","14/782","65/18614",3.9485040478264e-07,3.2820237956157e-05,2.61704841790599e-05,"1627/23345/11344/23568/3638/8733/11079/10945/10956/706/11014/11015/9168/2934",14
"GO:0031099","GO:0031099","regeneration","25/782","190/18614",4.22969717236108e-07,3.36027730792211e-05,2.6794468779204e-05,"3913/83999/133/7048/5738/9315/55959/7049/975/928/4837/706/10404/2896/3162/2621/7070/4192/3479/301/9314/5764/6387/4313/347",25
"GO:0032970","GO:0032970","regulation of actin filament-based process","39/782","387/18614",4.24645685957575e-07,3.36027730792211e-05,2.6794468779204e-05,"29108/11344/148170/116985/274/84952/10142/6840/11078/6050/51474/4853/22998/6711/287/51429/3397/130271/29085/1902/6624/9353/5295/10630/822/961/5066/9168/122786/28984/120/5156/4192/6422/4035/2006/6387/2934/6281",39
"GO:0050818","GO:0050818","regulation of coagulation","15/782","75/18614",4.25175100151937e-07,3.36027730792211e-05,2.6794468779204e-05,"7103/5329/308/6484/2149/928/947/710/302/79001/5270/2191/11117/348/5156",15
"GO:0046718","GO:0046718","viral entry into host cell","22/782","153/18614",4.469590112129e-07,3.47546676299579e-05,2.7712976382844e-05,"950/185/1514/1803/3304/3123/3685/3303/1956/290/5806/972/975/3693/3916/3956/1508/1604/2621/5034/4061/2934",22
"GO:0035987","GO:0035987","endodermal cell differentiation","12/782","48/18614",4.79991021317108e-07,3.67307414884092e-05,2.9288675185465e-05,"3685/1295/3912/3693/1301/4323/1303/2335/1290/1291/1289/4313",12
"GO:0007179","GO:0007179","transforming growth factor beta receptor signaling pathway","27/782","218/18614",5.04773891141812e-07,3.76604696134604e-05,3.00300298100105e-05,"3248/94/135228/2734/4053/3303/10252/7048/4054/9315/3397/7049/3693/4052/1601/2331/8483/94031/8425/11117/7148/2200/4015/54829/5654/1281/1278",27
"GO:0001706","GO:0001706","endoderm formation","13/782","57/18614",5.07764058260719e-07,3.76604696134604e-05,3.00300298100105e-05,"3685/1295/3912/3693/1301/4323/1303/1843/2335/1290/1291/1289/4313",13
"GO:0071711","GO:0071711","basement membrane organization","10/782","33/18614",6.21155798570185e-07,4.52975811479753e-05,3.61197756203465e-05,"144165/3913/1520/23768/4320/3912/10266/83872/3908/1281",10
"GO:0006956","GO:0006956","complement activation","13/782","58/18614",6.29524566877069e-07,4.52975811479753e-05,3.61197756203465e-05,"5648/717/730/79987/710/1604/28984/1191/716/3075/715/718/1675",13
"GO:0045765","GO:0045765","regulation of angiogenesis","36/782","349/18614",6.76849228011227e-07,4.79866195329724e-05,3.82639842213158e-05,"140862/5740/64094/147372/94/6050/133/7048/358/26585/10266/8434/1545/947/90993/8038/2896/3162/7423/7060/56005/1512/28984/11117/3339/10457/4192/1893/9314/6422/6678/5176/7058/718/6423/1634",36
"GO:0060349","GO:0060349","bone morphogenesis","17/782","99/18614",7.24985134307091e-07,5.06543961231085e-05,4.03912389090693e-05,"3037/5916/3638/25987/7059/2734/7048/338773/9249/4054/871/116039/4323/6424/1311/1281/1277",17
"GO:0052548","GO:0052548","regulation of endopeptidase activity","35/782","336/18614",7.67942864126757e-07,5.11273706308302e-05,4.07683833980266e-05,"5104/10134/29108/51065/274/1611/23787/51107/2534/5329/27018/444/358/2149/64065/8434/1509/871/10972/2537/25824/8743/710/5743/2621/1512/5270/7077/10550/9314/7076/5176/1471/2934/6423",35
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","38/782","381/18614",7.71922063475318e-07,5.11273706308302e-05,4.07683833980266e-05,"64114/10134/29108/10961/10449/1514/2907/1520/81618/3304/6934/3685/5329/3303/50486/9500/2923/2950/26471/972/6615/57007/2537/8743/90993/3958/8406/5743/3162/2260/1512/5034/3479/1191/6422/6387/1513/6423",38
"GO:0006692","GO:0006692","prostanoid metabolic process","12/782","50/18614",7.74175079039744e-07,5.11273706308302e-05,4.07683833980266e-05,"231/9536/3248/5740/1646/2950/8644/972/1645/5743/301/5730",12
"GO:0006693","GO:0006693","prostaglandin metabolic process","12/782","50/18614",7.74175079039744e-07,5.11273706308302e-05,4.07683833980266e-05,"231/9536/3248/5740/1646/2950/8644/972/1645/5743/301/5730",12
"GO:0048193","GO:0048193","Golgi vesicle transport","32/782","294/18614",8.73013001763124e-07,5.68756173175678e-05,4.53519698782209e-05,"22818/10134/81555/11316/10484/10066/2801/9554/56681/57120/3638/1176/378/22872/57222/6711/11079/400/10960/54732/10897/10945/8613/10972/3916/3998/23423/11014/11015/5034/2619/51226",32
"GO:0002687","GO:0002687","positive regulation of leukocyte migration","21/782","147/18614",9.06874606735405e-07,5.82938997209518e-05,4.64828921234765e-05,"29108/3554/58494/80310/7499/972/351/623/5295/961/3958/7423/2621/7060/7070/4323/5919/4192/4267/5764/6387",21
"GO:0050679","GO:0050679","positive regulation of epithelial cell proliferation","27/782","225/18614",9.46990972855939e-07,5.98094202193673e-05,4.76913509189247e-05,"3037/185/57142/283/94/6934/4853/8828/1956/2683/3912/3397/1535/2896/3162/7423/7060/116039/56005/2260/4192/1893/3479/6422/5764/6387/5654",27
"GO:0030638","GO:0030638","polyketide metabolic process","6/782","10/18614",9.8007554393902e-07,5.98094202193673e-05,4.76913509189247e-05,"231/1646/10327/8644/8574/1645",6
"GO:0030647","GO:0030647","aminoglycoside antibiotic metabolic process","6/782","10/18614",9.8007554393902e-07,5.98094202193673e-05,4.76913509189247e-05,"231/1646/10327/8644/8574/1645",6
"GO:0044598","GO:0044598","doxorubicin metabolic process","6/782","10/18614",9.8007554393902e-07,5.98094202193673e-05,4.76913509189247e-05,"231/1646/10327/8644/8574/1645",6
"GO:0097237","GO:0097237","cellular response to toxic substance","19/782","124/18614",1.00967170741798e-06,6.08453412682759e-05,4.85173825722428e-05,"9536/9403/1193/2882/6649/9446/10327/128/2947/2950/2879/216/25824/4257/5743/493869/10516/348/10549",19
"GO:0030193","GO:0030193","regulation of blood coagulation","14/782","70/18614",1.02955295494026e-06,6.12774666144071e-05,4.8861954404702e-05,"7103/5329/6484/2149/928/947/710/302/79001/5270/2191/11117/348/5156",14
"GO:0030178","GO:0030178","negative regulation of Wnt signaling pathway","23/782","174/18614",1.12269383021539e-06,6.60061823837608e-05,5.26325785358998e-05,"144165/30851/8321/25987/6934/83999/25937/7162/26585/3487/27123/147495/2719/1601/80114/348/4192/6422/6424/3489/4035/115908/6423",23
"GO:0097529","GO:0097529","myeloid leukocyte migration","28/782","241/18614",1.15189656721471e-06,6.69071488017123e-05,5.33509989025761e-05,"3554/1803/2683/80310/26585/7499/972/975/928/9353/5295/961/3958/7423/7060/4323/11117/5479/1843/5919/4681/4192/301/4267/7130/2919/6387/4313",28
"GO:0016137","GO:0016137","glycoside metabolic process","8/782","21/18614",1.17053320524992e-06,6.71802450298794e-05,5.35687627264751e-05,"231/2990/1646/10327/2519/8644/8574/1645",8
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","40/782","419/18614",1.21655492119069e-06,6.90001326477683e-05,5.50199203986178e-05,"3150/3037/185/57142/283/94/135228/6934/4853/8828/1956/2683/3912/9500/55959/3397/26471/7049/1535/2719/2896/1601/3162/7423/7060/116039/56005/2260/28984/348/4192/1893/3479/6422/6678/5176/5764/6387/5654/6423",40
"GO:0001656","GO:0001656","metanephros development","16/782","92/18614",1.28422217596739e-06,7.19911059341719e-05,5.74048884532792e-05,"6092/55366/3913/231/51107/25937/10252/358/26585/10409/947/2719/116039/1512/5156/2200",16
"GO:0022617","GO:0022617","extracellular matrix disassembly","13/782","62/18614",1.41912661308648e-06,7.86391885251712e-05,6.27059938414012e-05,"285590/1803/1520/1991/4320/6624/10630/4323/2191/4035/1471/1513/4313",13
"GO:0001704","GO:0001704","formation of primary germ layer","19/782","127/18614",1.46475208901782e-06,8.02451116040329e-05,6.39865386255151e-05,"79971/6881/3685/1295/3912/6615/3693/1301/4323/1303/1843/2697/2335/9314/1290/1291/1289/4313/6423",19
"GO:0032956","GO:0032956","regulation of actin cytoskeleton organization","35/782","346/18614",1.51884619762245e-06,8.22736799858184e-05,6.56040959635386e-05,"29108/11344/148170/116985/274/84952/6840/11078/6050/51474/4853/22998/6711/51429/3397/130271/29085/1902/6624/9353/5295/822/961/5066/9168/28984/120/5156/4192/6422/4035/2006/6387/2934/6281",35
"GO:0031638","GO:0031638","zymogen activation","13/782","63/18614",1.72006515196258e-06,9.21381566401289e-05,7.34699173680391e-05,"29108/1514/5648/5329/444/64065/7123/4323/1512/302/5270/715/6281",13
"GO:0030510","GO:0030510","regulation of BMP signaling pathway","18/782","118/18614",2.06790936444449e-06,0.000109553747758097,8.7356911497412e-05,"64388/8321/10984/94/4853/91851/10468/26585/2719/94031/4681/2200/6422/6424/7130/11167/5654/6423",18
