"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","79/782","314/18614",1.84396770178469e-39,5.7081371804693e-36,4.55160361643116e-36,"144165/3037/3913/81621/1842/5768/285590/1803/54507/649/64094/5033/1520/10609/1296/8785/1991/23768/4320/5212/2683/1295/3912/55959/5806/84168/26585/10266/351/8434/6624/4016/871/7373/83872/9509/10630/1545/3908/90993/1301/1307/2331/2621/4323/302/30008/60681/28984/2191/10516/11117/1303/1306/5156/25890/10549/165/7148/8510/1290/1289/4035/2006/4015/1471/4239/1311/1805/10631/1513/4313/151887/4060/1281/1278/2192/1277/6423",79
"GO:0043062","GO:0043062","extracellular structure organization","79/782","315/18614",2.3680303590414e-39,5.7081371804693e-36,4.55160361643116e-36,"144165/3037/3913/81621/1842/5768/285590/1803/54507/649/64094/5033/1520/10609/1296/8785/1991/23768/4320/5212/2683/1295/3912/55959/5806/84168/26585/10266/351/8434/6624/4016/871/7373/83872/9509/10630/1545/3908/90993/1301/1307/2331/2621/4323/302/30008/60681/28984/2191/10516/11117/1303/1306/5156/25890/10549/165/7148/8510/1290/1289/4035/2006/4015/1471/4239/1311/1805/10631/1513/4313/151887/4060/1281/1278/2192/1277/6423",79
"GO:0045229","GO:0045229","external encapsulating structure organization","79/782","317/18614",3.89293155090602e-39,6.25594100230598e-36,4.98841614873993e-36,"144165/3037/3913/81621/1842/5768/285590/1803/54507/649/64094/5033/1520/10609/1296/8785/1991/23768/4320/5212/2683/1295/3912/55959/5806/84168/26585/10266/351/8434/6624/4016/871/7373/83872/9509/10630/1545/3908/90993/1301/1307/2331/2621/4323/302/30008/60681/28984/2191/10516/11117/1303/1306/5156/25890/10549/165/7148/8510/1290/1289/4035/2006/4015/1471/4239/1311/1805/10631/1513/4313/151887/4060/1281/1278/2192/1277/6423",79
"GO:0030199","GO:0030199","collagen fibril organization","29/782","64/18614",2.47819942763808e-23,2.9868498601608e-20,2.38168008150902e-20,"649/5033/10609/4320/26585/4016/871/7373/9509/1545/1301/2331/302/30008/60681/11117/1303/165/7148/1290/1289/4015/1311/1805/4060/1281/1278/1277/6423",29
"GO:0032963","GO:0032963","collagen metabolic process","30/782","108/18614",5.71951348537443e-17,5.51475490259803e-14,4.3974027891763e-14,"54463/55323/1514/1520/10609/4320/64175/2149/10536/7431/871/9509/90993/1508/4323/28984/2191/11117/7148/57333/9902/8510/5118/1289/1471/4239/1513/4313/1278/1277",30
"GO:0001503","GO:0001503","ossification","57/782","429/18614",1.09544077418073e-14,8.80186662054219e-12,7.01850825843515e-12,"144165/56172/55366/81621/4037/8321/5745/649/22801/23184/55603/10984/83999/25937/5087/7059/285313/338773/91851/1956/9249/4054/26585/6615/7123/51374/6238/90993/1301/3486/2719/5743/116039/4323/1009/117581/6320/4192/1893/3479/4256/9902/1290/1291/6422/7130/4015/5764/54829/1462/1311/1513/4313/115908/1278/1277/6423",57
"GO:0085029","GO:0085029","extracellular matrix assembly","17/782","42/18614",3.16591432928627e-13,2.18041042592702e-10,1.73863445572233e-10,"144165/3037/5768/84168/10266/2621/30008/60681/28984/10516/11117/7148/2006/4015/4239/1281/1278",17
"GO:0052547","GO:0052547","regulation of peptidase activity","53/782","425/18614",1.24991279582776e-12,6.69788435887082e-10,5.34081675096808e-10,"5104/10134/29108/51065/1514/274/334/1611/1520/23787/135228/51107/2534/5329/27018/80760/444/358/84168/2149/64065/351/8434/1509/871/1476/10972/2537/25824/8743/710/2719/5743/2896/1508/2621/1512/5270/7077/10550/1893/6590/57333/9314/1293/7076/4035/5176/1471/2934/221476/1513/6423",53
"GO:0002685","GO:0002685","regulation of leukocyte migration","37/782","227/18614",1.25038289213519e-12,6.69788435887082e-10,5.34081675096808e-10,"29108/3554/1803/90865/58494/1991/80310/6484/26585/7499/972/351/975/928/623/9353/5295/961/3958/3162/7423/2621/7060/7070/4323/11117/1843/5919/4681/4192/1893/301/4267/7130/5764/6387/347",37
"GO:0016485","GO:0016485","protein processing","38/782","250/18614",5.62412824733339e-12,2.71139222803943e-09,2.1620333009749e-09,"837/81555/29108/4311/1514/5648/590/1803/649/147372/1520/81502/25825/51107/2734/5329/29100/444/64065/9935/9509/26022/7123/10418/10699/5621/56265/4323/1512/5034/302/5270/2619/165/715/2934/6281/1311",38
"GO:0060348","GO:0060348","bone development","36/782","235/18614",1.62293749280485e-11,7.11289241164743e-09,5.67173944853905e-09,"10234/3037/5916/285590/54796/3638/124565/633/25987/4853/7059/2734/7048/338773/9249/4054/3953/55959/26585/64175/871/116039/4323/302/79001/5479/1893/3479/2697/2200/6424/4969/4015/1311/1281/1277",36
"GO:0051604","GO:0051604","protein maturation","43/782","332/18614",5.12120003084247e-11,2.03575629042783e-08,1.62328889456051e-08,"837/81555/29108/4311/1514/5648/590/1803/649/147372/1520/81502/25825/51107/91289/2734/5329/29100/444/5547/64065/9935/871/9509/26022/7123/10418/10699/5621/56265/4323/1512/5034/302/5270/2619/10549/165/715/2934/6281/1311/2192",43
"GO:0031589","GO:0031589","cell-substrate adhesion","45/782","359/18614",5.48949010071806e-11,2.03575629042783e-08,1.62328889456051e-08,"3037/54453/1842/22801/94/11078/22998/3685/7059/5212/10085/1295/3912/3397/84168/26585/3693/25992/5295/10630/947/1307/1601/2621/7070/4323/5034/1009/30008/967/10516/11117/9358/25890/4192/7148/2335/6422/2199/6281/151887/1281/2192/1277/347",45
"GO:0007178","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","47/782","398/18614",1.60223692744545e-10,5.51741730515321e-08,4.39952575866975e-08,"64388/8321/3248/10984/94/135228/25937/4853/6711/2734/4053/3303/10252/7048/91851/10468/4054/9315/3397/26585/7049/3693/7431/4052/3073/2719/1601/2331/8483/94031/8425/11117/4681/7148/2200/6422/6424/7130/11167/4035/4015/54829/5654/1311/1281/1278/6423",47
"GO:0061448","GO:0061448","connective tissue development","37/782","275/18614",3.9178647303519e-10,1.2592017243351e-07,1.00407312247334e-07,"140606/10424/4094/5916/91252/5745/285590/7227/649/633/25987/94/7059/2734/7048/80310/4054/55959/26585/6615/871/947/1301/116039/4192/1893/4256/7076/4969/1289/4015/2202/1311/1513/1281/1277/6423",37
"GO:0042060","GO:0042060","wound healing","48/782","439/18614",1.3976046130537e-09,4.21115739970743e-07,3.35792897820534e-07,"7103/79026/6382/64094/90865/221037/25987/94/5493/135228/4853/5329/667/7048/2683/308/6484/5754/5547/358/2149/928/8613/10630/3998/947/710/2159/3162/2621/302/79001/60681/5270/2191/11117/348/5156/3479/301/7076/1289/4015/6281/1311/1281/2192/1277",48
"GO:1903053","GO:1903053","regulation of extracellular matrix organization","16/782","59/18614",1.63332763272759e-09,4.63192501022335e-07,3.69344428156108e-07,"3037/3913/1803/3912/84168/6624/10630/3908/30008/28984/2191/11117/165/7148/4035/1471",16
"GO:0050900","GO:0050900","leukocyte migration","44/782","393/18614",3.31804702164397e-09,8.524437070232e-07,6.79728909278208e-07,"29108/3554/80270/1803/90865/58494/1991/2534/2683/80310/6484/26585/7499/972/351/975/928/623/9353/5295/947/961/3958/3162/7423/2621/7060/7070/4323/11117/5479/1843/5919/4681/4192/1893/301/4267/7130/2919/5764/6387/4313/347",44
"GO:0045862","GO:0045862","positive regulation of proteolysis","42/782","365/18614",3.35955827285642e-09,8.524437070232e-07,6.79728909278208e-07,"144165/10134/154214/29108/11337/51065/1514/25897/1611/90865/147372/1520/23787/51107/3304/2534/3303/27018/51429/444/152503/84168/26471/2149/64065/1509/7123/10418/8743/2896/1601/4323/1512/302/348/10550/57333/1191/2934/6281/1513/6423",42
"GO:0006888","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","23/782","131/18614",5.31815567763711e-09,1.28194142609443e-06,1.02220550182793e-06,"10134/81555/11316/10484/2801/9554/56681/57120/3638/378/22872/57222/10960/54732/10897/10945/10972/3998/23423/11014/11015/5034/2619",23
"GO:0090287","GO:0090287","regulation of cellular response to growth factor stimulus","40/782","345/18614",6.42275577369992e-09,1.47448121833368e-06,1.17573454062918e-06,"64388/8321/64094/147372/10984/94/135228/4853/2734/3303/10252/91851/10468/9315/55959/26585/7049/9353/90993/4052/2719/1601/8483/2260/967/94031/8425/11117/4681/7148/2200/6422/6424/7130/11167/4015/54829/5654/6423/1634",40
