"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MYLIP",1.04686455569009e-59,0.283968986543564,0.549,0.486,2.37889501635017e-55,"3","MYLIP"
"PPP1R15B",4.3125288024953e-56,0.272580398331553,0.511,0.442,9.79979045079032e-52,"3","PPP1R15B"
"NDUFB71",6.01749861916653e-56,0.261772672550143,0.613,0.592,1.3674163862194e-51,"3","NDUFB7"
"CDKN1A1",1.08630628490141e-55,0.406215670784348,0.842,0.826,2.46852240180997e-51,"3","CDKN1A"
"ARC1",1.51634099643271e-55,0.285576768815157,0.289,0.208,3.4457332802937e-51,"3","ARC"
"NEAT11",7.54806072651985e-55,0.280834662948019,0.997,0.992,1.71522131949437e-50,"3","NEAT1"
"TRIM8",2.78631186795639e-54,0.277130267039792,0.465,0.395,6.3316150887441e-50,"3","TRIM8"
"APEX1",5.16044507221149e-54,0.319390357327087,0.496,0.445,1.17265953820934e-49,"3","APEX1"
"PLEKHO11",1.41301251860109e-53,0.393422362715283,0.4,0.317,3.21092964726911e-49,"3","PLEKHO1"
"SNAI21",2.43751797845864e-53,0.294505448339406,0.307,0.23,5.53901585424942e-49,"3","SNAI2"
