"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009636","GO:0009636","response to toxic substance","24/782","242/18614",8.95894788232804e-05,0.00223788019381883,0.0017844601945057,"10549/348/10516/493869/5743/4257/25824/1545/216/2879/26471/1066/2950/2947/128/10327/9446/6649/2882/1193/9403/6382/9536/4357",24
"GO:0097191","GO:0097191","extrinsic apoptotic signaling pathway","23/782","227/18614",9.01489332228558e-05,0.00224024745911025,0.00178634782490434,"6423/6422/3479/2260/3162/8406/3958/8743/2537/5295/2950/2923/50486/27018/3303/3685/6934/3304/81618/90865/11337/29108/64114",23
"GO:0051384","GO:0051384","response to glucocorticoid","17/782","142/18614",9.80528813298103e-05,0.00242416892764623,0.00193300471048025,"5730/5176/301/4192/5743/5066/678/387758/1545/9353/358/6586/133/808/6382/590/5069",17
"GO:0010631","GO:0010631","epithelial cell migration","32/782","371/18614",0.000100857356408081,0.00246595567764147,0.00196632498930046,"1634/5764/5176/11167/6678/9314/301/348/2191/28984/1512/2260/3162/2896/5743/5168/1545/9353/8613/6615/26585/3397/5547/7048/8828/94/147372/64094/57142/1803/54453/3037",32
"GO:0048144","GO:0048144","fibroblast proliferation","14/782","103/18614",0.000101789085221044,0.00246595567764147,0.00196632498930046,"1281/6422/2335/6277/3479/5156/57124/2621/972/26471/358/2950/80310/1956",14
"GO:0150115","GO:0150115","cell-substrate junction organization","14/782","103/18614",0.000101789085221044,0.00246595567764147,0.00196632498930046,"347/6281/6422/2335/1009/4323/7070/1307/5295/26585/667/22998/94/144165",14
"GO:1903076","GO:1903076","regulation of protein localization to plasma membrane","14/782","103/18614",0.000101789085221044,0.00246595567764147,0.00196632498930046,"4035/4323/1601/3958/5621/131578/5295/55022/9528/11079/1956/6711/10857/64114",14
"GO:0050817","GO:0050817","coagulation","23/782","229/18614",0.000102995123525487,0.00248269745258186,0.00197967469007936,"2192/1281/1311/5156/348/11117/2191/5270/79001/302/2621/2159/710/947/3998/10630/928/2149/6484/308/5329/221037/7103",23
"GO:0048545","GO:0048545","response to steroid hormone","30/782","339/18614",0.000104415180422469,0.00250440589461057,0.00199698475466278,"5730/1277/5176/4015/6422/301/4192/1601/5743/5066/10628/678/706/387758/1545/9353/1535/8644/8611/358/6586/7048/3303/133/808/3304/6382/590/5069/10424",30
"GO:0010712","GO:0010712","regulation of collagen metabolic process","9/782","46/18614",0.000105912164193692,0.00252773536424649,0.0020155874082093,"4239/1471/11117/2191/28984/90993/7431/2149/55323",9
"GO:0007599","GO:0007599","hemostasis","23/782","230/18614",0.000110009483742546,0.00261258975922568,0.00208324933693428,"2192/1281/1311/5156/348/11117/2191/5270/79001/302/2621/2159/710/947/3998/10630/928/2149/6484/308/5329/221037/7103",23
"GO:0009101","GO:0009101","glycoprotein biosynthetic process","29/782","324/18614",0.000111095075286597,0.00262543802919942,0.00209349440116951,"9452/3479/7423/9445/727936/58505/79586/100128731/1603/4121/746/1650/200185/6185/9528/6484/2683/6934/81618/25825/90865/8704/55501/29940/2801/8869/5238/11227/57134",29
"GO:0001837","GO:0001837","epithelial to mesenchymal transition","19/782","172/18614",0.000116728554889811,0.00274158644951256,0.00218610982950029,"6423/1277/6422/7148/3479/4192/28984/2260/1601/10630/6615/7049/26585/7048/10252/25937/6934/57142/3037",19
"GO:0090132","GO:0090132","epithelium migration","32/782","374/18614",0.000117147232648742,0.00274158644951256,0.00218610982950029,"1634/5764/5176/11167/6678/9314/301/348/2191/28984/1512/2260/3162/2896/5743/5168/1545/9353/8613/6615/26585/3397/5547/7048/8828/94/147372/64094/57142/1803/54453/3037",32
"GO:0071772","GO:0071772","response to BMP","20/782","187/18614",0.000122113154092527,0.00281874726492068,0.00224763698544532,"6423/1311/5654/11167/7130/6424/6422/2200/4681/94031/2719/7049/26585/10468/91851/4853/94/10984/8321/64388",20
"GO:0071773","GO:0071773","cellular response to BMP stimulus","20/782","187/18614",0.000122113154092527,0.00281874726492068,0.00224763698544532,"6423/1311/5654/11167/7130/6424/6422/2200/4681/94031/2719/7049/26585/10468/91851/4853/94/10984/8321/64388",20
"GO:0002504","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","8/782","37/18614",0.000122248318882082,0.00281874726492068,0.00224763698544532,"8722/1509/972/3122/3123/1520/1514/29108",8
"GO:1903319","GO:1903319","positive regulation of protein maturation","7/782","28/18614",0.000122783017140291,0.00281874726492068,0.00224763698544532,"6281/2934/302/4323/10418/7123/147372",7
"GO:0061430","GO:0061430","bone trabecula morphogenesis","5/782","13/18614",0.000125451959742764,0.0028291163772199,0.0022559051975692,"1277/4313/6422/26585/7059",5
"GO:0090177","GO:0090177","establishment of planar polarity involved in neural tube closure","5/782","13/18614",0.000125451959742764,0.0028291163772199,0.0022559051975692,"6423/115908/6422/5754/8321",5
"GO:1903054","GO:1903054","negative regulation of extracellular matrix organization","5/782","13/18614",0.000125451959742764,0.0028291163772199,0.0022559051975692,"1471/11117/2191/84168/1803",5
"GO:0050919","GO:0050919","negative chemotaxis","9/782","47/18614",0.0001261688490152,0.0028291163772199,0.0022559051975692,"10512/9353/6586/8828/7869/23768/3685/1803/6092",9
"GO:1905314","GO:1905314","semi-lunar valve development","9/782","47/18614",0.0001261688490152,0.0028291163772199,0.0022559051975692,"2006/11117/1009/9353/6615/6586/7048/4853/6092",9
"GO:0045137","GO:0045137","development of primary sexual characteristics","23/782","233/18614",0.000133670443718639,0.00297158052932974,0.00236950449090322,"6423/4313/7130/6422/10549/5156/4323/8743/10409/1545/9353/2674/8644/26471/5806/6586/10468/10265/283/6382/10184/2067/6092",23
"GO:1903035","GO:1903035","negative regulation of response to wounding","13/782","93/18614",0.000133755024863006,0.00297158052932974,0.00236950449090322,"4192/5156/348/2191/5270/302/710/947/928/5329/83999/135228/7103",13
"GO:0010718","GO:0010718","positive regulation of epithelial to mesenchymal transition","10/782","58/18614",0.000135340623092549,0.00299301442169349,0.00238659563270879,"1277/7148/4192/28984/1601/10630/6615/7048/25937/6934",10
"GO:0072073","GO:0072073","kidney epithelium development","17/782","146/18614",0.000138384403847329,0.00304635256140627,0.0024291268582093,"6422/2719/947/10409/9353/26585/358/9500/10252/5087/4853/25937/6382/9244/3913/55366/6092",17
"GO:0003180","GO:0003180","aortic valve morphogenesis","8/782","38/18614",0.000149201238435345,0.00324899170006892,0.00259070900089558,"2006/11117/1009/9353/6615/6586/7048/6092",8
"GO:0032527","GO:0032527","protein exit from endoplasmic reticulum","9/782","48/18614",0.000149564410393815,0.00324899170006892,0.00259070900089558,"10956/975/27248/10952/81502/3638/56681/7184/10134",9
"GO:0090130","GO:0090130","tissue migration","32/782","379/18614",0.000149611316617984,0.00324899170006892,0.00259070900089558,"1634/5764/5176/11167/6678/9314/301/348/2191/28984/1512/2260/3162/2896/5743/5168/1545/9353/8613/6615/26585/3397/5547/7048/8828/94/147372/64094/57142/1803/54453/3037",32
"GO:0030514","GO:0030514","negative regulation of BMP signaling pathway","11/782","70/18614",0.00015065629923319,0.00325701353633725,0.00259710552182964,"6423/5654/7130/6422/2200/4681/94031/26585/91851/8321/64388",11
"GO:0034308","GO:0034308","primary alcohol metabolic process","14/782","107/18614",0.000154126878474061,0.00331716821930112,0.00264507218133117,"3479/125/1601/1645/1545/216/8574/8644/9249/128/10327/1646/51635/231",14
"GO:0003416","GO:0003416","endochondral bone growth","7/782","29/18614",0.000156025450960757,0.00332831282779562,0.0026539587652943,"1311/1893/7048/7059/25987/54796/5916",7
"GO:1902430","GO:1902430","negative regulation of amyloid-beta formation","7/782","29/18614",0.000156025450960757,0.00332831282779562,0.0026539587652943,"1191/3479/348/5621/10418/57142/274",7
"GO:0033619","GO:0033619","membrane protein proteolysis","10/782","59/18614",0.000156909767403652,0.00333243166807492,0.00265724308165146,"7076/7077/348/1512/152503/51429/51107/25825/81502/84888",10
